2017-08-31 03:06:54:8975	../../../files/testListWithPickListSize025.txt
NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	193,837	10	50	0,6	0,05	Ordered	Inversion	954,240000000002	0,032
1	193,837	10	50	0,7	0,01	Ordered	Inversion	887,320000000002	0,03
1	193,837	10	50	0,7	0,02	Ordered	Inversion	824,140000000002	0,032
1	193,837	10	50	0,7	0,03	Ordered	Inversion	907,480000000003	0,02
1	193,837	10	50	0,7	0,04	Ordered	Inversion	807,460000000002	0,04
1	193,837	10	50	0,7	0,05	Ordered	Inversion	878,220000000002	0,047
1	193,837	10	50	0,8	0,01	Ordered	Inversion	912,980000000002	0,025
1	193,837	10	50	0,8	0,02	Ordered	Inversion	980,340000000002	0,04
1	193,837	10	50	0,8	0,03	Ordered	Inversion	1031,12	0,017
1	193,837	10	50	0,8	0,04	Ordered	Inversion	1062,32	0,024
1	193,837	10	50	0,8	0,05	Ordered	Inversion	876,040000000002	0,156
1	193,837	10	50	0,9	0,01	Ordered	Inversion	971,000000000002	0,037
1	193,837	10	50	0,9	0,02	Ordered	Inversion	923,380000000002	0,06
1	193,837	10	50	0,9	0,03	Ordered	Inversion	954,000000000001	0,085
1	193,837	10	50	0,9	0,04	Ordered	Inversion	846,440000000002	0,095
1	193,837	10	50	0,9	0,05	Ordered	Inversion	849,220000000001	0,066
1	193,837	15	10	0,6	0,01	Ordered	Inversion	1359,64	0,003
1	193,837	15	10	0,6	0,02	Ordered	Inversion	1245,5	0,005
1	193,837	15	10	0,6	0,03	Ordered	Inversion	1372,72	0,002
1	193,837	15	10	0,6	0,04	Ordered	Inversion	1294,86	0,003
1	193,837	15	10	0,6	0,05	Ordered	Inversion	1503,16	0,004
1	193,837	15	10	0,7	0,01	Ordered	Inversion	1302,94	0,004
1	193,837	15	10	0,7	0,02	Ordered	Inversion	1392,7	0,003
1	193,837	15	10	0,7	0,03	Ordered	Inversion	1208,36	0,006
1	193,837	15	10	0,7	0,04	Ordered	Inversion	1177,74	0,003
1	193,837	15	10	0,7	0,05	Ordered	Inversion	1334,12	0,007
1	193,837	15	10	0,8	0,01	Ordered	Inversion	1193,24	0,003
1	193,837	15	10	0,8	0,02	Ordered	Inversion	1313,58	0,003
1	193,837	15	10	0,8	0,03	Ordered	Inversion	1102,76	0,005
1	193,837	15	10	0,8	0,04	Ordered	Inversion	1155,68	0,009
1	193,837	15	10	0,8	0,05	Ordered	Inversion	1121,52	0,015
1	193,837	15	10	0,9	0,01	Ordered	Inversion	1326,12	0,077
1	193,837	15	10	0,9	0,02	Ordered	Inversion	1136,2	0,01
1	193,837	15	10	0,9	0,03	Ordered	Inversion	1433,46	0,046
1	193,837	15	10	0,9	0,04	Ordered	Inversion	1010,02	0,045
1	193,837	15	10	0,9	0,05	Ordered	Inversion	1011,54	0,06
1	193,837	15	20	0,6	0,01	Ordered	Inversion	1274,26	0,008
1	193,837	15	20	0,6	0,02	Ordered	Inversion	1231,98	0,007
1	193,837	15	20	0,6	0,03	Ordered	Inversion	1128,66	0,006
1	193,837	15	20	0,6	0,04	Ordered	Inversion	1064,12	0,029
1	193,837	15	20	0,6	0,05	Ordered	Inversion	1149,46	0,011
1	193,837	15	20	0,7	0,01	Ordered	Inversion	1130,08	0,006
1	193,837	15	20	0,7	0,02	Ordered	Inversion	959,240000000002	0,013
1	193,837	15	20	0,7	0,03	Ordered	Inversion	1267,12	0,003
1	193,837	15	20	0,7	0,04	Ordered	Inversion	1103,24	0,012
1	193,837	15	20	0,7	0,05	Ordered	Inversion	1139,94	0,028
1	193,837	15	20	0,8	0,01	Ordered	Inversion	1185,9	0,01
1	193,837	15	20	0,8	0,02	Ordered	Inversion	1040,84	0,013
1	193,837	15	20	0,8	0,03	Ordered	Inversion	1083,46	0,027
1	193,837	15	20	0,8	0,04	Ordered	Inversion	993,700000000002	0,03
1	193,837	15	20	0,8	0,05	Ordered	Inversion	1124,58	0,012
1	193,837	15	20	0,9	0,01	Ordered	Inversion	1254	0,114
1	193,837	15	20	0,9	0,02	Ordered	Inversion	1162,96	0,028
1	193,837	15	20	0,9	0,03	Ordered	Inversion	1094,54	0,057
1	193,837	15	20	0,9	0,04	Ordered	Inversion	936,740000000002	0,094
1	193,837	15	20	0,9	0,05	Ordered	Inversion	852,860000000001	0,043
1	193,837	15	30	0,6	0,01	Ordered	Inversion	971,580000000003	0,015
1	193,837	15	30	0,6	0,02	Ordered	Inversion	1027,38	0,013
1	193,837	15	30	0,6	0,03	Ordered	Inversion	1103,24	0,016
1	193,837	15	30	0,6	0,04	Ordered	Inversion	986,800000000003	0,012
1	193,837	15	30	0,6	0,05	Ordered	Inversion	879,680000000002	0,017
1	193,837	15	30	0,7	0,01	Ordered	Inversion	968,920000000002	0,016
1	193,837	15	30	0,7	0,02	Ordered	Inversion	1238,94	0,017
1	193,837	15	30	0,7	0,03	Ordered	Inversion	1077,72	0,026
1	193,837	15	30	0,7	0,04	Ordered	Inversion	1014,84	0,038
1	193,837	15	30	0,7	0,05	Ordered	Inversion	1008,66	0,024
1	193,837	15	30	0,8	0,01	Ordered	Inversion	951,620000000001	0,109
1	193,837	15	30	0,8	0,02	Ordered	Inversion	912,980000000002	0,055
1	193,837	15	30	0,8	0,03	Ordered	Inversion	956,620000000002	0,029
1	193,837	15	30	0,8	0,04	Ordered	Inversion	990,980000000003	0,031
1	193,837	15	30	0,8	0,05	Ordered	Inversion	938,240000000003	0,033
1	193,837	15	30	0,9	0,01	Ordered	Inversion	1013,28	0,024
1	193,837	15	30	0,9	0,02	Ordered	Inversion	913,940000000002	0,049
1	193,837	15	30	0,9	0,03	Ordered	Inversion	902,920000000002	0,051
1	193,837	15	30	0,9	0,04	Ordered	Inversion	938,440000000002	0,144
1	193,837	15	30	0,9	0,05	Ordered	Inversion	840,220000000002	0,051
1	193,837	15	40	0,6	0,01	Ordered	Inversion	1118,8	0,019
1	193,837	15	40	0,6	0,02	Ordered	Inversion	871,040000000001	0,024
1	193,837	15	40	0,6	0,03	Ordered	Inversion	1155	0,012
1	193,837	15	40	0,6	0,04	Ordered	Inversion	776,400000000001	0,023
1	193,837	15	40	0,6	0,05	Ordered	Inversion	900,140000000002	0,061
1	193,837	15	40	0,7	0,01	Ordered	Inversion	1084,52	0,019
1	193,837	15	40	0,7	0,02	Ordered	Inversion	950,400000000002	0,026
1	193,837	15	40	0,7	0,03	Ordered	Inversion	806,060000000002	0,152
1	193,837	15	40	0,7	0,04	Ordered	Inversion	842,940000000002	0,052
1	193,837	15	40	0,7	0,05	Ordered	Inversion	837,060000000002	0,142
1	193,837	15	40	0,8	0,01	Ordered	Inversion	846,100000000002	0,027
1	193,837	15	40	0,8	0,02	Ordered	Inversion	968,480000000003	0,032
1	193,837	15	40	0,8	0,03	Ordered	Inversion	787,200000000002	0,047
1	193,837	15	40	0,8	0,04	Ordered	Inversion	961,480000000003	0,069
1	193,837	15	40	0,8	0,05	Ordered	Inversion	879,580000000001	0,078
1	193,837	15	40	0,9	0,01	Ordered	Inversion	1047,26	0,05
1	193,837	15	40	0,9	0,02	Ordered	Inversion	1000,46	0,018
1	193,837	15	40	0,9	0,03	Ordered	Inversion	717,360000000002	0,091
1	193,837	15	40	0,9	0,04	Ordered	Inversion	836,040000000002	0,082
1	193,837	15	40	0,9	0,05	Ordered	Inversion	842,120000000002	0,174
1	193,837	15	50	0,6	0,01	Ordered	Inversion	1010,72	0,035
1	193,837	15	50	0,6	0,02	Ordered	Inversion	986,840000000003	0,038
1	193,837	15	50	0,6	0,03	Ordered	Inversion	851,160000000002	0,043
1	193,837	15	50	0,6	0,04	Ordered	Inversion	876,180000000002	0,061
1	193,837	15	50	0,6	0,05	Ordered	Inversion	809,360000000002	0,057
1	193,837	15	50	0,7	0,01	Ordered	Inversion	1079,18	0,119
1	193,837	15	50	0,7	0,02	Ordered	Inversion	1055,02	0,025
1	193,837	15	50	0,7	0,03	Ordered	Inversion	972,560000000002	0,026
1	193,837	15	50	0,7	0,04	Ordered	Inversion	953,560000000002	0,055
1	193,837	15	50	0,7	0,05	Ordered	Inversion	813,540000000002	0,079
1	193,837	15	50	0,8	0,01	Ordered	Inversion	961,620000000002	0,046
1	193,837	15	50	0,8	0,02	Ordered	Inversion	767,420000000002	0,044
1	193,837	15	50	0,8	0,03	Ordered	Inversion	823,560000000001	0,071
1	193,837	15	50	0,8	0,04	Ordered	Inversion	843,720000000003	0,129
1	193,837	15	50	0,8	0,05	Ordered	Inversion	760,320000000001	0,084
1	193,837	15	50	0,9	0,01	Ordered	Inversion	858,100000000002	0,061
1	193,837	15	50	0,9	0,02	Ordered	Inversion	776,800000000002	0,123
1	193,837	15	50	0,9	0,03	Ordered	Inversion	926,540000000002	0,048
1	193,837	15	50	0,9	0,04	Ordered	Inversion	793,080000000002	0,231
1	193,837	15	50	0,9	0,05	Ordered	Inversion	694,080000000001	0,182
1	193,837	20	10	0,6	0,01	Ordered	Inversion	1299,34	0,008
1	193,837	20	10	0,6	0,02	Ordered	Inversion	1427,74	0,004
1	193,837	20	10	0,6	0,03	Ordered	Inversion	1357,32	0,006
1	193,837	20	10	0,6	0,04	Ordered	Inversion	1430,4	0,005
1	193,837	20	10	0,6	0,05	Ordered	Inversion	1308,08	0,011
1	193,837	20	10	0,7	0,01	Ordered	Inversion	1298,32	0,012
1	193,837	20	10	0,7	0,02	Ordered	Inversion	1310,02	0,005
1	193,837	20	10	0,7	0,03	Ordered	Inversion	1300,6	0,008
1	193,837	20	10	0,7	0,04	Ordered	Inversion	1375,4	0,008
1	193,837	20	10	0,7	0,05	Ordered	Inversion	1076,22	0,015
1	193,837	20	10	0,8	0,01	Ordered	Inversion	1355,52	0,006
1	193,837	20	10	0,8	0,02	Ordered	Inversion	1150,72	0,005
1	193,837	20	10	0,8	0,03	Ordered	Inversion	1127,78	0,016
1	193,837	20	10	0,8	0,04	Ordered	Inversion	1227,16	0,017
1	193,837	20	10	0,8	0,05	Ordered	Inversion	1224,68	0,01
1	193,837	20	10	0,9	0,01	Ordered	Inversion	1350,32	0,005
1	193,837	20	10	0,9	0,02	Ordered	Inversion	1377,78	0,005
1	193,837	20	10	0,9	0,03	Ordered	Inversion	1290,54	0,013
1	193,837	20	10	0,9	0,04	Ordered	Inversion	1341,7	0,059
1	193,837	20	10	0,9	0,05	Ordered	Inversion	1195,14	0,065
1	193,837	20	20	0,6	0,01	Ordered	Inversion	1116,8	0,011
1	193,837	20	20	0,6	0,02	Ordered	Inversion	1040,5	0,016
1	193,837	20	20	0,6	0,03	Ordered	Inversion	1282,24	0,009
1	193,837	20	20	0,6	0,04	Ordered	Inversion	917,880000000002	0,021
1	193,837	20	20	0,6	0,05	Ordered	Inversion	905,200000000002	0,027
1	193,837	20	20	0,7	0,01	Ordered	Inversion	1139,06	0,013
1	193,837	20	20	0,7	0,02	Ordered	Inversion	1112,76	0,012
1	193,837	20	20	0,7	0,03	Ordered	Inversion	1055,8	0,011
1	193,837	20	20	0,7	0,04	Ordered	Inversion	792,740000000002	0,041
1	193,837	20	20	0,7	0,05	Ordered	Inversion	886,640000000002	0,025
1	193,837	20	20	0,8	0,01	Ordered	Inversion	1091,04	0,022
1	193,837	20	20	0,8	0,02	Ordered	Inversion	812,820000000002	0,022
1	193,837	20	20	0,8	0,03	Ordered	Inversion	1030,58	0,096
1	193,837	20	20	0,8	0,04	Ordered	Inversion	990,880000000002	0,033
1	193,837	20	20	0,8	0,05	Ordered	Inversion	899,020000000002	0,058
1	193,837	20	20	0,9	0,01	Ordered	Inversion	1344,2	0,033
1	193,837	20	20	0,9	0,02	Ordered	Inversion	963,220000000003	0,072
1	193,837	20	20	0,9	0,03	Ordered	Inversion	1073,94	0,056
1	193,837	20	20	0,9	0,04	Ordered	Inversion	865,300000000002	0,051
1	193,837	20	20	0,9	0,05	Ordered	Inversion	954,040000000002	0,139
1	193,837	20	30	0,6	0,01	Ordered	Inversion	1086,96	0,026
1	193,837	20	30	0,6	0,02	Ordered	Inversion	941,840000000002	0,049
1	193,837	20	30	0,6	0,03	Ordered	Inversion	982,240000000001	0,027
1	193,837	20	30	0,6	0,04	Ordered	Inversion	1014,84	0,023
1	193,837	20	30	0,6	0,05	Ordered	Inversion	838,080000000002	0,043
1	193,837	20	30	0,7	0,01	Ordered	Inversion	898,400000000001	0,138
1	193,837	20	30	0,7	0,02	Ordered	Inversion	1053,18	0,018
1	193,837	20	30	0,7	0,03	Ordered	Inversion	1119,18	0,03
1	193,837	20	30	0,7	0,04	Ordered	Inversion	857,380000000002	0,058
1	193,837	20	30	0,7	0,05	Ordered	Inversion	880,220000000002	0,059
1	193,837	20	30	0,8	0,01	Ordered	Inversion	926,200000000002	0,036
1	193,837	20	30	0,8	0,02	Ordered	Inversion	994,620000000003	0,02
1	193,837	20	30	0,8	0,03	Ordered	Inversion	918,040000000002	0,043
1	193,837	20	30	0,8	0,04	Ordered	Inversion	831,840000000002	0,054
1	193,837	20	30	0,8	0,05	Ordered	Inversion	1015,92	0,018
1	193,837	20	30	0,9	0,01	Ordered	Inversion	903,300000000003	0,127
1	193,837	20	30	0,9	0,02	Ordered	Inversion	849,460000000002	0,099
1	193,837	20	30	0,9	0,03	Ordered	Inversion	841,440000000002	0,206
1	193,837	20	30	0,9	0,04	Ordered	Inversion	893,340000000002	0,154
1	193,837	20	30	0,9	0,05	Ordered	Inversion	944,180000000002	0,051
1	193,837	20	40	0,6	0,01	Ordered	Inversion	1263,28	0,026
1	193,837	20	40	0,6	0,02	Ordered	Inversion	989,280000000002	0,022
1	193,837	20	40	0,6	0,03	Ordered	Inversion	923,580000000002	0,042
1	193,837	20	40	0,6	0,04	Ordered	Inversion	919,340000000002	0,038
1	193,837	20	40	0,6	0,05	Ordered	Inversion	1104,94	0,02
1	193,837	20	40	0,7	0,01	Ordered	Inversion	997,200000000003	0,029
1	193,837	20	40	0,7	0,02	Ordered	Inversion	868,600000000002	0,152
1	193,837	20	40	0,7	0,03	Ordered	Inversion	1086,96	0,023
1	193,837	20	40	0,7	0,04	Ordered	Inversion	939,080000000002	0,045
1	193,837	20	40	0,7	0,05	Ordered	Inversion	958,220000000003	0,033
1	193,837	20	40	0,8	0,01	Ordered	Inversion	920,500000000002	0,059
1	193,837	20	40	0,8	0,02	Ordered	Inversion	892,420000000002	0,049
1	193,837	20	40	0,8	0,03	Ordered	Inversion	898,540000000002	0,148
1	193,837	20	40	0,8	0,04	Ordered	Inversion	987,380000000003	0,028
1	193,837	20	40	0,8	0,05	Ordered	Inversion	817,620000000001	0,094
1	193,837	20	40	0,9	0,01	Ordered	Inversion	936,360000000001	0,099
1	193,837	20	40	0,9	0,02	Ordered	Inversion	984,860000000002	0,052
1	193,837	20	40	0,9	0,03	Ordered	Inversion	760,520000000001	0,265
1	193,837	20	40	0,9	0,04	Ordered	Inversion	1046,24	0,065
1	193,837	20	40	0,9	0,05	Ordered	Inversion	858,060000000002	0,163
1	193,837	20	50	0,6	0,01	Ordered	Inversion	722,080000000001	0,022
1	193,837	20	50	0,6	0,02	Ordered	Inversion	762,560000000001	0,062
1	193,837	20	50	0,6	0,03	Ordered	Inversion	775,480000000001	0,07
1	193,837	20	50	0,6	0,04	Ordered	Inversion	908,120000000002	0,054
1	193,837	20	50	0,6	0,05	Ordered	Inversion	852,320000000002	0,053
1	193,837	20	50	0,7	0,01	Ordered	Inversion	1016,4	0,108
1	193,837	20	50	0,7	0,02	Ordered	Inversion	832,740000000002	0,039
1	193,837	20	50	0,7	0,03	Ordered	Inversion	856,160000000002	0,059
1	193,837	20	50	0,7	0,04	Ordered	Inversion	1038,08	0,049
1	193,837	20	50	0,7	0,05	Ordered	Inversion	866,860000000001	0,08
1	193,837	20	50	0,8	0,01	Ordered	Inversion	951,560000000002	0,036
1	193,837	20	50	0,8	0,02	Ordered	Inversion	895,480000000002	0,134
1	193,837	20	50	0,8	0,03	Ordered	Inversion	811,400000000002	0,083
1	193,837	20	50	0,8	0,04	Ordered	Inversion	829,340000000002	0,054
1	193,837	20	50	0,8	0,05	Ordered	Inversion	808,480000000002	0,069
1	193,837	20	50	0,9	0,01	Ordered	Inversion	915,360000000001	0,166
1	193,837	20	50	0,9	0,02	Ordered	Inversion	1143,78	0,054
1	193,837	20	50	0,9	0,03	Ordered	Inversion	723,440000000001	0,459
1	193,837	20	50	0,9	0,04	Ordered	Inversion	824,280000000002	0,2
1	193,837	20	50	0,9	0,05	Ordered	Inversion	750,800000000001	0,256
1	193,837	25	10	0,6	0,01	Ordered	Inversion	1474,27999999999	0,006
1	193,837	25	10	0,6	0,02	Ordered	Inversion	1506,32	0,004
1	193,837	25	10	0,6	0,03	Ordered	Inversion	1195,78	0,008
1	193,837	25	10	0,6	0,04	Ordered	Inversion	1070,24	0,021
1	193,837	25	10	0,6	0,05	Ordered	Inversion	1118,46	0,022
1	193,837	25	10	0,7	0,01	Ordered	Inversion	1405,95999999999	0,005
1	193,837	25	10	0,7	0,02	Ordered	Inversion	1210,16	0,009
1	193,837	25	10	0,7	0,03	Ordered	Inversion	1347,46	0,005
1	193,837	25	10	0,7	0,04	Ordered	Inversion	1202,48	0,009
1	193,837	25	10	0,7	0,05	Ordered	Inversion	1061,64	0,011
1	193,837	25	10	0,8	0,01	Ordered	Inversion	1212,2	0,009
1	193,837	25	10	0,8	0,02	Ordered	Inversion	1219,98	0,011
1	193,837	25	10	0,8	0,03	Ordered	Inversion	1014,98	0,017
1	193,837	25	10	0,8	0,04	Ordered	Inversion	1138,28	0,008
1	193,837	25	10	0,8	0,05	Ordered	Inversion	1017,66	0,032
1	193,837	25	10	0,9	0,01	Ordered	Inversion	1359,22	0,08
1	193,837	25	10	0,9	0,02	Ordered	Inversion	1169,92	0,026
1	193,837	25	10	0,9	0,03	Ordered	Inversion	927,880000000002	0,05
1	193,837	25	10	0,9	0,04	Ordered	Inversion	1220,2	0,005
1	193,837	25	10	0,9	0,05	Ordered	Inversion	1300,36	0,023
1	193,837	25	20	0,6	0,01	Ordered	Inversion	1297,2	0,01
1	193,837	25	20	0,6	0,02	Ordered	Inversion	944,440000000002	0,011
1	193,837	25	20	0,6	0,03	Ordered	Inversion	890,960000000002	0,031
1	193,837	25	20	0,6	0,04	Ordered	Inversion	965,200000000002	0,01
1	193,837	25	20	0,6	0,05	Ordered	Inversion	1136,62	0,015
1	193,837	25	20	0,7	0,01	Ordered	Inversion	1296,9	0,011
1	193,837	25	20	0,7	0,02	Ordered	Inversion	1075,1	0,01
1	193,837	25	20	0,7	0,03	Ordered	Inversion	1077,78	0,011
1	193,837	25	20	0,7	0,04	Ordered	Inversion	1007,16	0,019
1	193,837	25	20	0,7	0,05	Ordered	Inversion	893,780000000002	0,038
1	193,837	25	20	0,8	0,01	Ordered	Inversion	1071,9	0,024
1	193,837	25	20	0,8	0,02	Ordered	Inversion	1144,84	0,037
1	193,837	25	20	0,8	0,03	Ordered	Inversion	938,980000000002	0,125
1	193,837	25	20	0,8	0,04	Ordered	Inversion	1016,26	0,047
1	193,837	25	20	0,8	0,05	Ordered	Inversion	937,720000000001	0,052
1	193,837	25	20	0,9	0,01	Ordered	Inversion	989,520000000002	0,051
1	193,837	25	20	0,9	0,02	Ordered	Inversion	1008,62	0,102
1	193,837	25	20	0,9	0,03	Ordered	Inversion	965,080000000002	0,04
1	193,837	25	20	0,9	0,04	Ordered	Inversion	848,200000000002	0,055
1	193,837	25	20	0,9	0,05	Ordered	Inversion	828,120000000002	0,528
1	193,837	25	30	0,6	0,01	Ordered	Inversion	1024,22	0,022
1	193,837	25	30	0,6	0,02	Ordered	Inversion	1077,74	0,016
1	193,837	25	30	0,6	0,03	Ordered	Inversion	1073,88	0,018
1	193,837	25	30	0,6	0,04	Ordered	Inversion	909,140000000001	0,05
1	193,837	25	30	0,6	0,05	Ordered	Inversion	896,500000000001	0,029
1	193,837	25	30	0,7	0,01	Ordered	Inversion	1123,94	0,023
1	193,837	25	30	0,7	0,02	Ordered	Inversion	1061,34	0,031
1	193,837	25	30	0,7	0,03	Ordered	Inversion	1026,5	0,025
1	193,837	25	30	0,7	0,04	Ordered	Inversion	838,280000000002	0,036
1	193,837	25	30	0,7	0,05	Ordered	Inversion	937,620000000002	0,072
1	193,837	25	30	0,8	0,01	Ordered	Inversion	1024,7	0,029
1	193,837	25	30	0,8	0,02	Ordered	Inversion	927,360000000002	0,031
1	193,837	25	30	0,8	0,03	Ordered	Inversion	950,400000000002	0,047
1	193,837	25	30	0,8	0,04	Ordered	Inversion	797,940000000002	0,06
1	193,837	25	30	0,8	0,05	Ordered	Inversion	888,240000000002	0,047
1	193,837	25	30	0,9	0,01	Ordered	Inversion	900,300000000001	0,053
1	193,837	25	30	0,9	0,02	Ordered	Inversion	956,660000000003	0,055
1	193,837	25	30	0,9	0,03	Ordered	Inversion	859,320000000003	0,056
1	193,837	25	30	0,9	0,04	Ordered	Inversion	809,020000000002	0,066
1	193,837	25	30	0,9	0,05	Ordered	Inversion	834,100000000001	0,102
1	193,837	25	40	0,6	0,01	Ordered	Inversion	874,900000000002	0,019
1	193,837	25	40	0,6	0,02	Ordered	Inversion	846,780000000002	0,062
1	193,837	25	40	0,6	0,03	Ordered	Inversion	1005,32	0,025
1	193,837	25	40	0,6	0,04	Ordered	Inversion	898,640000000002	0,05
1	193,837	25	40	0,6	0,05	Ordered	Inversion	772,620000000001	0,076
1	193,837	25	40	0,7	0,01	Ordered	Inversion	1001,82	0,043
1	193,837	25	40	0,7	0,02	Ordered	Inversion	914,820000000002	0,03
1	193,837	25	40	0,7	0,03	Ordered	Inversion	952,340000000003	0,047
1	193,837	25	40	0,7	0,04	Ordered	Inversion	888,140000000002	0,03
1	193,837	25	40	0,7	0,05	Ordered	Inversion	679,460000000001	0,079
1	193,837	25	40	0,8	0,01	Ordered	Inversion	955,940000000002	0,123
1	193,837	25	40	0,8	0,02	Ordered	Inversion	788,900000000002	0,059
1	193,837	25	40	0,8	0,03	Ordered	Inversion	878,140000000001	0,09
1	193,837	25	40	0,8	0,04	Ordered	Inversion	788,320000000001	0,203
1	193,837	25	40	0,8	0,05	Ordered	Inversion	756,820000000001	0,069
1	193,837	25	40	0,9	0,01	Ordered	Inversion	920,800000000002	0,071
1	193,837	25	40	0,9	0,02	Ordered	Inversion	846,500000000002	0,09
1	193,837	25	40	0,9	0,03	Ordered	Inversion	750,460000000002	0,172
1	193,837	25	40	0,9	0,04	Ordered	Inversion	772,760000000002	0,118
1	193,837	25	40	0,9	0,05	Ordered	Inversion	776,420000000001	0,227
1	193,837	25	50	0,6	0,01	Ordered	Inversion	988,740000000002	0,054
1	193,837	25	50	0,6	0,02	Ordered	Inversion	808,680000000002	0,071
1	193,837	25	50	0,6	0,03	Ordered	Inversion	834,880000000002	0,059
1	193,837	25	50	0,6	0,04	Ordered	Inversion	793,760000000002	0,239
1	193,837	25	50	0,6	0,05	Ordered	Inversion	785,940000000001	0,096
1	193,837	25	50	0,7	0,01	Ordered	Inversion	1008,52	0,037
1	193,837	25	50	0,7	0,02	Ordered	Inversion	837,880000000002	0,085
1	193,837	25	50	0,7	0,03	Ordered	Inversion	778,160000000001	0,087
1	193,837	25	50	0,7	0,04	Ordered	Inversion	789,920000000002	0,059
1	193,837	25	50	0,7	0,05	Ordered	Inversion	685,480000000001	0,1
1	193,837	25	50	0,8	0,01	Ordered	Inversion	938,300000000002	0,07
1	193,837	25	50	0,8	0,02	Ordered	Inversion	948,020000000002	0,21
1	193,837	25	50	0,8	0,03	Ordered	Inversion	782,140000000002	0,106
1	193,837	25	50	0,8	0,04	Ordered	Inversion	844,300000000002	0,12
1	193,837	25	50	0,8	0,05	Ordered	Inversion	719,060000000001	0,195
1	193,837	25	50	0,9	0,01	Ordered	Inversion	963,420000000002	0,081
1	193,837	25	50	0,9	0,02	Ordered	Inversion	767,180000000001	0,075
1	193,837	25	50	0,9	0,03	Ordered	Inversion	852,280000000001	0,051
1	193,837	25	50	0,9	0,04	Ordered	Inversion	750,800000000002	0,276
1	193,837	25	50	0,9	0,05	Ordered	Inversion	788,420000000002	0,074
1	193,837	30	10	0,6	0,01	Ordered	Inversion	1219,78	0,004
1	193,837	30	10	0,6	0,02	Ordered	Inversion	1357,66	0,01
1	193,837	30	10	0,6	0,03	Ordered	Inversion	1092,6	0,011
1	193,837	30	10	0,6	0,04	Ordered	Inversion	1236,38	0,008
1	193,837	30	10	0,6	0,05	Ordered	Inversion	1260,6	0,006
1	193,837	30	10	0,7	0,01	Ordered	Inversion	1254,28	0,008
1	193,837	30	10	0,7	0,02	Ordered	Inversion	1321,1	0,016
1	193,837	30	10	0,7	0,03	Ordered	Inversion	1289,48	0,007
1	193,837	30	10	0,7	0,04	Ordered	Inversion	1203,2	0,011
1	193,837	30	10	0,7	0,05	Ordered	Inversion	997,340000000003	0,028
1	193,837	30	10	0,8	0,01	Ordered	Inversion	1438,72	0,004
1	193,837	30	10	0,8	0,02	Ordered	Inversion	1197,42	0,01
1	193,837	30	10	0,8	0,03	Ordered	Inversion	1057,72	0,017
1	193,837	30	10	0,8	0,04	Ordered	Inversion	1162	0,013
1	193,837	30	10	0,8	0,05	Ordered	Inversion	1077,14	0,07
1	193,837	30	10	0,9	0,01	Ordered	Inversion	1392,74	0,01
1	193,837	30	10	0,9	0,02	Ordered	Inversion	1098,72	0,013
1	193,837	30	10	0,9	0,03	Ordered	Inversion	1094,4	0,275
1	193,837	30	10	0,9	0,04	Ordered	Inversion	1414,86	0,097
1	193,837	30	10	0,9	0,05	Ordered	Inversion	1093,62	0,728
1	193,837	30	20	0,6	0,01	Ordered	Inversion	1254,96	0,01
1	193,837	30	20	0,6	0,02	Ordered	Inversion	1030,28	0,029
1	193,837	30	20	0,6	0,03	Ordered	Inversion	997,760000000003	0,023
1	193,837	30	20	0,6	0,04	Ordered	Inversion	1069,12	0,026
1	193,837	30	20	0,6	0,05	Ordered	Inversion	940,000000000002	0,111
1	193,837	30	20	0,7	0,01	Ordered	Inversion	1305,02	0,008
1	193,837	30	20	0,7	0,02	Ordered	Inversion	1267,6	0,01
1	193,837	30	20	0,7	0,03	Ordered	Inversion	846,780000000002	0,04
1	193,837	30	20	0,7	0,04	Ordered	Inversion	806,540000000002	0,084
1	193,837	30	20	0,7	0,05	Ordered	Inversion	905,980000000001	0,046
1	193,837	30	20	0,8	0,01	Ordered	Inversion	988,500000000002	0,046
1	193,837	30	20	0,8	0,02	Ordered	Inversion	880,360000000002	0,042
1	193,837	30	20	0,8	0,03	Ordered	Inversion	982,180000000003	0,142
1	193,837	30	20	0,8	0,04	Ordered	Inversion	853,200000000002	0,033
1	193,837	30	20	0,8	0,05	Ordered	Inversion	916,480000000003	0,024
1	193,837	30	20	0,9	0,01	Ordered	Inversion	1355,04	0,02
1	193,837	30	20	0,9	0,02	Ordered	Inversion	1108,44	0,043
1	193,837	30	20	0,9	0,03	Ordered	Inversion	902,820000000002	0,096
1	193,837	30	20	0,9	0,04	Ordered	Inversion	921,480000000003	0,626
1	193,837	30	20	0,9	0,05	Ordered	Inversion	984,220000000002	0,178
1	193,837	30	30	0,6	0,01	Ordered	Inversion	1133,76	0,03
1	193,837	30	30	0,6	0,02	Ordered	Inversion	911,960000000002	0,038
1	193,837	30	30	0,6	0,03	Ordered	Inversion	802,560000000001	0,048
1	193,837	30	30	0,6	0,04	Ordered	Inversion	918,320000000002	0,041
1	193,837	30	30	0,6	0,05	Ordered	Inversion	933,920000000002	0,049
1	193,837	30	30	0,7	0,01	Ordered	Inversion	984,220000000002	0,021
1	193,837	30	30	0,7	0,02	Ordered	Inversion	720,040000000002	0,07
1	193,837	30	30	0,7	0,03	Ordered	Inversion	869,720000000002	0,075
